"No","Type","Region","City,Town,Ward,Village code","Prefecture","City,Town,Ward,Village","Area","Nearest station：Name","Nearest station：Distance(minute)","Transaction-price(total)","Layout","Area(m^2)","Transaction-price(Unit price m^2)","Land shape","Frontage","Total floor area(m^2)","Year of construction","Building structure","Use","Purpose of Use","Frontage road：Direction","Frontage road：Classification","Frontage road：Breadth(m)","City Planning","Maximus Building Coverage Ratio(%)","Maximus Floor-area Ratio(%)","Transaction period","Renovation","Transactional factors"
8927,"Residential Land(Land Only)","Residential Area","13206","Tokyo","Fuchu City","Yotsuya","Nakagawara","19",90000000,"","300",300000,"Semi-rectangular Shaped","21.0","","","","","","Northeast","City Road",6.1,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8928,"Residential Land(Land Only)","Industrial Area","13206","Tokyo","Fuchu City","Yotsuya","Nakagawara","26",5000000,"","45",110000,"Semi-rectangular Shaped","1.4","","","","","Other","Southwest","City Road",9.0,"Industrial Zone",60,200,"1st quarter 2023","",""
8929,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Yotsuya","Nakagawara","14",65000000,"","390",,"Semi-rectangular Shaped","23.8","85","1960","W","House","","Northwest","Private Road",4.0,"Category I Exclusively Low-story Residential Zone",50,100,"1st quarter 2023","",""
8930,"Residential Land(Land Only)","Residential Area","13206","Tokyo","Fuchu City","Yotsuya","Nakagawara","16",4800000,"","35",140000,"Irregular Shaped","0.9","","","","","House","Northeast","City Road",6.8,"Category I Exclusively Medium-high Residential Zone",50,100,"1st quarter 2023","",""
8931,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Yotsuya","Nakagawara","21",36000000,"","100",,"Semi-square Shaped","10.6","95","2013","W","House","House","Southwest","City Road",4.5,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","",""
8932,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Yotsuya","Nakagawara","23",30000000,"3LDK","75",,"","","","2014","","","House","","",,"",,,"1st quarter 2023","Not yet",""
8933,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Wakamatsucho","Tamareien","9",53000000,"","95",,"Irregular Shaped","8.6","75","2023","W","House","House","East","City Road",4.0,"Category I Exclusively Low-story Residential Zone",40,80,"2nd quarter 2023","",""
8934,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Wakamatsucho","Higashifuchu","10",16000000,"1K","20",,"","","","2008","RC","House","House","","",,"Quasi-residential Zone",60,300,"2nd quarter 2023","Not yet",""
8935,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Wakamatsucho","Higashifuchu","9",60000000,"","145",,"&quot;Flag-shaped&quot; etc.","2.7","100","1999","W","House","House","East","City Road",6.0,"Category I Exclusively Low-story Residential Zone",60,150,"1st quarter 2023","",""
8936,"Residential Land(Land and Building)","Residential Area","13206","Tokyo","Fuchu City","Wakamatsucho","Higashifuchu","12",74000000,"","115",,"&quot;Flag-shaped&quot; etc.","3.0","90","2022","W","House","House","East","City Road",7.5,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8937,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Wakamatsucho","Higashifuchu","14",36000000,"2LDK+S","65",,"","","","2021","RC","House","House","","",,"Quasi-residential Zone",60,300,"1st quarter 2023","Done",""
8938,"Pre-owned Condominiums, etc.","","13206","Tokyo","Fuchu City","Wakamatsucho","Higashifuchu","5",1000000,"1K","15",,"","","","1984","RC","","House","","",,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","Not yet",""
8939,"Pre-owned Condominiums, etc.","","13207","Tokyo","Akishima City","Asahicho","Nakagami","8",29000000,"3LDK","60",,"","","","2013","RC","","House","","",,"Neighborhood Commercial Zone",80,200,"2nd quarter 2023","",""
8940,"Residential Land(Land Only)","Residential Area","13207","Tokyo","Akishima City","Azumacho","Nishitachikawa","9",16000000,"","90",170000,"Semi-trapezoidal Shaped","9.4","","","","","House","South","City Road",3.0,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8941,"Pre-owned Condominiums, etc.","","13207","Tokyo","Akishima City","Azumacho","Nishitachikawa","1",45000000,"3LDK","70",,"","","","2004","","House","House","","",,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","Not yet",""
8942,"Pre-owned Condominiums, etc.","","13207","Tokyo","Akishima City","Ogamicho","Akishima","20",13000000,"2DK+S","55",,"","","","1994","SRC","House","House","","",,"Quasi-residential Zone",60,300,"1st quarter 2023","Done",""
8943,"Residential Land(Land and Building)","Residential Area","13207","Tokyo","Akishima City","Gochicho","Nishitachikawa","10",65000000,"","100",,"Rectangular Shaped","15.3","165","2023","W","Housing Complex","House","North","Tokyo Metropolitan Road",7.6,"Category I Exclusively Medium-high Residential Zone",50,150,"1st quarter 2023","",""
8944,"Residential Land(Land and Building)","Residential Area","13207","Tokyo","Akishima City","Gochicho","Higashinakagami","15",39000000,"","90",,"Rectangular Shaped","6.0","85","2023","W","House","House","South","City Road",5.0,"Category I Exclusively Low-story Residential Zone",50,100,"1st quarter 2023","",""
8945,"Residential Land(Land and Building)","Residential Area","13207","Tokyo","Akishima City","Showacho","Akishima","12",35000000,"","80",,"Semi-rectangular Shaped","6.9","75","2022","W","House","House","Northeast","City Road",5.4,"Category I Exclusively Low-story Residential Zone",50,100,"1st quarter 2023","",""
8946,"Pre-owned Condominiums, etc.","","13207","Tokyo","Akishima City","Showacho","Akishima","2",35000000,"3LDK","65",,"","","","2000","","House","House","","",,"Category I Residential Zone",60,200,"1st quarter 2023","Done",""
8947,"Residential Land(Land and Building)","Residential Area","13207","Tokyo","Akishima City","Tanakacho","Akishima","14",46000000,"","125",,"Semi-rectangular Shaped","7.5","100","2023","W","House","House","Northeast","City Road",5.0,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8948,"Residential Land(Land and Building)","Residential Area","13207","Tokyo","Akishima City","Tanakacho","Akishima","14",24000000,"","130",,"Rectangular Shaped","8.4","80","1994","W","","House","Southwest","City Road",5.0,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8949,"Pre-owned Condominiums, etc.","","13207","Tokyo","Akishima City","Tamagawacho","Nakagami","4",36000000,"","60",,"","","","2008","RC","House","House","","",,"Neighborhood Commercial Zone",80,200,"1st quarter 2023","",""
8950,"Residential Land(Land and Building)","Commercial Area","13207","Tokyo","Akishima City","Tamagawacho","Higashinakagami","3",14000000,"","60",,"Semi-rectangular Shaped","8.0","60","1966","W","House, Shop","House","Northeast","Tokyo Metropolitan Road",16.0,"Neighborhood Commercial Zone",80,300,"1st quarter 2023","",""
8951,"Residential Land(Land Only)","Commercial Area","13207","Tokyo","Akishima City","Tamagawacho","Higashinakagami","4",130000000,"","270",490000,"Trapezoidal Shaped","25.9","","","","","Other","Southwest","Tokyo Metropolitan Road",16.0,"Neighborhood Commercial Zone",80,400,"1st quarter 2023","",""
8952,"Pre-owned Condominiums, etc.","","13207","Tokyo","Akishima City","Tsutsujigaoka","Haijima","14",19000000,"3LDK","70",,"","","","1983","SRC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",50,200,"2nd quarter 2023","Not yet",""
8953,"Residential Land(Land and Building)","Residential Area","13207","Tokyo","Akishima City","Nakagamicho","Nakagami","16",35000000,"","125",,"Semi-rectangular Shaped","7.5","95","2013","W","House","","North","City Road",5.1,"Category I Exclusively Low-story Residential Zone",40,80,"2nd quarter 2023","",""
8954,"Residential Land(Land and Building)","Residential Area","13207","Tokyo","Akishima City","Nakagamicho","Nakagami","11",45000000,"","115",,"Semi-rectangular Shaped","9.7","90","2011","W","House","House","Southeast","City Road",14.0,"Category I Residential Zone",60,200,"2nd quarter 2023","",""
8955,"Residential Land(Land Only)","Residential Area","13207","Tokyo","Akishima City","Nakagamicho","Nakagami","10",43000000,"","175",240000,"Semi-rectangular Shaped","13.0","","","","","House","West","City Road",4.0,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8956,"Residential Land(Land and Building)","Residential Area","13207","Tokyo","Akishima City","Nakagamicho","Nakagami","11",47000000,"","130",,"Trapezoidal Shaped","7.3","100","2022","W","House","House","North","City Road",8.6,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8957,"Residential Land(Land and Building)","Residential Area","13207","Tokyo","Akishima City","Nakagamicho","Nakagami","8",46000000,"","140",,"Square Shaped","","95","2023","W","House","House","Northwest","Private Road",4.0,"Quasi-industrial Zone",60,200,"1st quarter 2023","",""
8958,"Pre-owned Condominiums, etc.","","13207","Tokyo","Akishima City","Nakagamicho","Nakagami","10",38000000,"3LDK","70",,"","","","2019","RC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","Done",""
8959,"Residential Land(Land and Building)","Residential Area","13207","Tokyo","Akishima City","Haijimacho","Haijima","17",50000000,"","120",,"Irregular Shaped","10.0","90","2022","W","House","House","East","City Road",5.4,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","","Dealings including private road"
8960,"Residential Land(Land Only)","Residential Area","13207","Tokyo","Akishima City","Fukujimacho","Higashinakagami","2",28000000,"","65",420000,"Semi-trapezoidal Shaped","6.4","","","","","","Northeast","City Road",6.0,"Neighborhood Commercial Zone",80,200,"2nd quarter 2023","",""
8961,"Residential Land(Land and Building)","Commercial Area","13207","Tokyo","Akishima City","Fukujimacho","Higashinakagami","18",190000000,"","720",,"Semi-shaped","","1000","1993","S","Housing Complex","House","North","Tokyo Metropolitan Road",20.0,"Quasi-residential Zone",60,300,"1st quarter 2023","",""
8962,"Residential Land(Land Only)","Residential Area","13207","Tokyo","Akishima City","Fukujimacho","Higashinakagami","4",50000000,"","250",200000,"Semi-rectangular Shaped","20.0","","","","","House","South","City Road",4.0,"Neighborhood Commercial Zone",80,200,"1st quarter 2023","",""
8963,"Residential Land(Land and Building)","Residential Area","13207","Tokyo","Akishima City","Matsubaracho","Haijima","6",35000000,"","115",,"Trapezoidal Shaped","8.2","95","2011","","House","House","Southeast","City Road",4.0,"Category I Exclusively Low-story Residential Zone",40,80,"2nd quarter 2023","",""
8964,"Pre-owned Condominiums, etc.","","13207","Tokyo","Akishima City","Matsubaracho","Haijima","6",11000000,"3LDK","60",,"","","","1987","SRC","House","House","","",,"Quasi-industrial Zone",60,200,"2nd quarter 2023","Not yet",""
8965,"Residential Land(Land and Building)","Residential Area","13207","Tokyo","Akishima City","Matsubaracho","Haijima","5",32000000,"","80",,"Rectangular Shaped","5.4","80","2006","W","House","House","West","City Road",12.8,"Category I Exclusively Medium-high Residential Zone",50,150,"1st quarter 2023","",""
8966,"Residential Land(Land and Building)","Residential Area","13207","Tokyo","Akishima City","Midoricho","Akishima","11",44000000,"","115",,"Semi-shaped","9.4","95","2023","W","House","Other","Northwest","Private Road",5.0,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8967,"Residential Land(Land and Building)","Residential Area","13207","Tokyo","Akishima City","Midoricho","Haijima","13",100000000,"","240",,"Semi-rectangular Shaped","17.7","95","2023","W","House","House","South","Private Road",5.0,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8968,"Residential Land(Land and Building)","Residential Area","13207","Tokyo","Akishima City","Midoricho","Haijima","16",43000000,"","120",,"Semi-trapezoidal Shaped","7.0","90","1993","W","House","House","Southeast","City Road",5.4,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8969,"Residential Land(Land Only)","Residential Area","13207","Tokyo","Akishima City","Midoricho","Haijima","15",220000000,"","1200",190000,"Irregular Shaped","32.0","","","","","","Northwest","City Road",5.4,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8970,"Residential Land(Land and Building)","Residential Area","13207","Tokyo","Akishima City","Midoricho","Haijima","15",46000000,"","120",,"Rectangular Shaped","8.5","95","2023","W","House","House","Southeast","Private Road",4.5,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8971,"Residential Land(Land and Building)","Residential Area","13207","Tokyo","Akishima City","Midoricho","Haijima","15",47000000,"","120",,"Rectangular Shaped","8.4","90","2023","W","House","House","Southwest","Private Road",4.5,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8972,"Residential Land(Land and Building)","Residential Area","13207","Tokyo","Akishima City","Mihoricho","Seibutachikawa","14",210000000,"","1100",,"Irregular Shaped","14.3","1000","1993","RC","Housing Complex","House","Northeast","City Road",9.5,"Category I Exclusively Medium-high Residential Zone",60,200,"2nd quarter 2023","",""
8973,"Pre-owned Condominiums, etc.","","13207","Tokyo","Akishima City","Mihoricho","Seibutachikawa","3",35000000,"","70",,"","","","","RC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","Not yet",""
8974,"Pre-owned Condominiums, etc.","","13207","Tokyo","Akishima City","Mihoricho","Haijima","5",30000000,"4LDK","90",,"","","","1981","SRC","House","House","","",,"Category I Exclusively Medium-high Residential Zone",60,200,"1st quarter 2023","Done",""
8975,"Residential Land(Land Only)","Residential Area","13207","Tokyo","Akishima City","Miyazawacho","Akishima","19",36000000,"","150",240000,"Semi-rectangular Shaped","9.0","","","","","House","East","City Road",6.0,"Category I Exclusively Low-story Residential Zone",50,100,"2nd quarter 2023","",""
8976,"Residential Land(Land and Building)","Residential Area","13207","Tokyo","Akishima City","Miyazawacho","Akishima","19",48000000,"","135",,"Semi-rectangular Shaped","11.7","105","2022","W","House","House","West","City Road",6.0,"Category I Exclusively Low-story Residential Zone",50,100,"1st quarter 2023","",""
8977,"Residential Land(Land Only)","Residential Area","13207","Tokyo","Akishima City","Miyazawacho","Akishima","18",18000000,"","115",160000,"Semi-trapezoidal Shaped","11.8","","","","","House","East","City Road",4.5,"Category I Exclusively Low-story Residential Zone",50,100,"1st quarter 2023","",""
8978,"Residential Land(Land Only)","Residential Area","13207","Tokyo","Akishima City","Miyazawacho","Nakagami","18",26000000,"","120",210000,"Irregular Shaped","3.0","","","","","House","North","Private Road",5.0,"Category I Exclusively Low-story Residential Zone",40,80,"2nd quarter 2023","",""
8979,"Residential Land(Land Only)","Residential Area","13207","Tokyo","Akishima City","Miyazawacho","Nakagami","11",51000000,"","165",310000,"Semi-rectangular Shaped","13.0","","","","","Other","West","City Road",3.0,"Quasi-industrial Zone",60,200,"2nd quarter 2023","",""
8980,"Residential Land(Land Only)","Residential Area","13207","Tokyo","Akishima City","Miyazawacho","Nakagami","18",29000000,"","120",240000,"Semi-rectangular Shaped","7.2","","","","","House","North","City Road",5.0,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8981,"Residential Land(Land Only)","Residential Area","13207","Tokyo","Akishima City","Miyazawacho","Nakagami","18",28000000,"","120",230000,"Semi-shaped","7.5","","","","","House","North","Private Road",5.0,"Category I Exclusively Low-story Residential Zone",40,80,"1st quarter 2023","",""
8982,"Pre-owned Condominiums, etc.","","13207","Tokyo","Akishima City","Miyazawacho","Nakagami","11",41000000,"4LDK","90",,"","","","2002","SRC","","House","","",,"Quasi-industrial Zone",60,200,"1st quarter 2023","Done",""
8983,"Pre-owned Condominiums, etc.","","13207","Tokyo","Akishima City","Miyazawacho","Nakagami","13",33000000,"3LDK","65",,"","","","2016","RC","House","House","","",,"Quasi-industrial Zone",60,200,"1st quarter 2023","Not yet",""
8984,"Residential Land(Land Only)","Potential Residential Area","13207","Tokyo","Akishima City","Musashino","Seibutachikawa","15",57000000,"","360",160000,"Semi-rectangular Shaped","12.8","","","","","","Southeast","Tokyo Metropolitan Road",8.0,"Quasi-industrial Zone",60,200,"2nd quarter 2023","",""
